stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,breakloop.thisRepN,breakloop.thisTrialN,breakloop.thisN,breakloop.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,continue3.keys,continue3.rt,continue3.started,continue3.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,experiment_block.started,experiment_block.stopped,continue4.keys,continue4.rt,continue4.started,continue4.stopped,trial_instructions.started,trial_instructions.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,breakimage.started,breakimage.stopped,continutebreak.keys,continutebreak.rt,continutebreak.started,continutebreak.stopped,participant,session,date,expName,psychopyVersion,frameRate,
man cleaning_boxing match asst.jpg,n,images/man cleaning_boxing match asst.jpg,Implausible,2,,,,,,,,,0,12,12,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8738874000046,None,n,1,2.371737100002065,69.8738874000046,None,69.8738874000046,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
boy_walking dog.jpg,c,images/boy_walking dog.jpg,Plausible,1,,,,,,,,,0,13,13,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.32533300000068,None,c,1,1.0707834000058938,72.32533300000068,None,72.32533300000068,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
woman_rock climbing.jpg,c,images/woman_rock climbing.jpg,Plausible,2,,,,,,,,,0,14,14,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.47535680000146,None,c,1,1.560345199999574,73.47535680000146,None,73.47535680000146,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
man_golfing.jpg,c,images/man_golfing.jpg,Plausible,1,,,,,,,,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.09150400000362,None,n,0,0.7361118999979226,75.09150400000362,None,75.09150400000362,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
band in the street.jpg,c,images/band in the street.jpg,Plausible,1,,,,,,,,,0,16,16,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.87269400000514,None,c,1,1.7942929999990156,75.87269400000514,None,75.87269400000514,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
man and woman_jumping into water.jpg,c,images/man and woman_jumping into water.jpg,Plausible,1,,,,,,,,,0,17,17,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.7223828999995,None,c,1,1.26447090000147,77.7223828999995,None,77.7223828999995,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
man holding up toilet.jpg,n,images/man holding up toilet.jpg,Implausible,2,,,,,,,,,0,18,18,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.07258189999993,None,n,1,1.1792124999992666,79.07258189999993,None,79.07258189999993,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
meeting with naked woman.jpg,n,images/meeting with naked woman.jpg,Implausible,1,,,,,,,,,0,19,19,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.32193310000002,None,n,1,0.6166798999984167,80.32193310000002,None,80.32193310000002,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
kicking soccer ball underwater.jpg,n,images/kicking soccer ball underwater.jpg,Implausible,2,,,,,,,,,0,20,20,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.02375600000232,None,n,1,1.8683541999998852,81.02375600000232,None,81.02375600000232,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
man_BMX bike.jpg,c,images/man_BMX bike.jpg,Plausible,1,,,,,,,,,0,21,21,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9568752999985,None,c,1,1.0209133000025759,82.9568752999985,None,82.9568752999985,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
scuba diver on mtn.jpg,n,images/scuba diver on mtn.jpg,Implausible,1,,,,,,,,,0,22,22,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.07168250000541,None,c,0,1.562294200004544,84.07168250000541,None,84.07168250000541,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
woman_ball and chain in desert.jpg,n,images/woman_ball and chain in desert.jpg,Implausible,1,,,,,,,,,0,23,23,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.70526410000457,None,c,0,0.17540220000228146,85.70526410000457,None,85.70526410000457,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
woman_ironing.jpg,c,images/woman_ironing.jpg,Plausible,2,,,,,,,,,0,24,24,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.97146510000312,None,c,1,0.13910320000286447,85.97146510000312,None,85.97146510000312,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
man swinging on street pole.jpg,n,images/man swinging on street pole.jpg,Implausible,2,,,,,,,,,0,25,25,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.17159070000343,None,c,0,0.13775319999695057,86.17159070000343,None,86.17159070000343,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
boys at ATM.jpg,n,images/boys at ATM.jpg,Implausible,2,,,,,,,,,0,26,26,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.38973320000514,None,c,0,0.11789480000152253,86.38973320000514,None,86.38973320000514,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
man_cracking coconut island.jpg,c,images/man_cracking coconut island.jpg,Plausible,1,,,,,,,,,0,27,27,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.55476250000356,None,c,1,0.15124240000295686,86.55476250000356,None,86.55476250000356,None,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
